county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate
Hamblen,62514,62952,64277,39.6,40.7,40.8,47063,No,189.8,176.4,203.9,155,falling,-0.8,-1.4,-0.1,1,22209,23413,24358,35.52644208,37.19182869,37.89535915,1.555766448
Hamilton,337262,350602,361613,39.3,39.7,39.6,47065,No,172.6,167,178.3,743,stable,0.1,-1.5,1.8,5,119569,128645,134468,35.45285268,36.69260301,37.18561003,1.382693653
Hancock,6802,6624,6600,42.9,43.5,44.3,47067,No,236.2,193.1,287.1,22,stable,0.4,-0.8,1.6,1,2721,2770,2851,40.00294031,41.81763285,43.1969697,15.15151515
Hardeman,27171,25931,25447,39.3,40.1,40.3,47069,No,196.5,175.1,220.1,63,stable,-0.4,-1.2,0.4,0,9292,9575,9621,34.19822605,36.92491612,37.80799308,0
Hardin,26054,25794,25846,43.7,44.8,45.6,47071,No,190.8,171.2,212.2,74,stable,-0.1,-1,0.9,0,10678,11106,11423,40.98410993,43.05652477,44.19639403,0
Hawkins,56872,56368,56459,42.2,43.9,45.1,47073,No,196.7,182.6,211.7,152,stable,0.1,-0.3,0.5,0,21804,23164,24078,38.33872556,41.09423787,42.64687649,0
Haywood,18812,18164,17573,39.3,40.4,41.7,47075,No,187.8,162.8,215.7,43,falling,-1,-1.9,-0.1,0,6660,6947,7113,35.4029343,38.24598106,40.47686792,0
Henderson,27789,27987,27751,39.8,40.5,41.2,47077,No,207,185.7,230.2,72,stable,-0.4,-1,0.3,0,9751,10424,10831,35.08942387,37.24586415,39.02922417,0
Henry,32402,32246,32450,44.4,45,45.6,47079,No,200,182.3,219.2,99,stable,-0.4,-1,0.1,1,13596,14023,14465,41.96037282,43.48756435,44.57627119,3.081664099
Hickman,24647,24431,24864,40.1,41,41.3,47081,No,201,178.4,225.9,60,stable,-0.4,-1.3,0.4,0,8575,9074,9563,34.79125249,37.14133683,38.46122909,0
