county,pop2010all,pop2014all,pop2017all,pop2010_50to54,pop2014_50to54,pop2017_50to54,pop2010_55to59,pop2014_55to59,pop2017_55to59,pop2010_60to64,pop2014_60to64,pop2017_60to64,pop2010_65to69,pop2014_65to69,pop2017_65to69,pop2010_70to74,pop2014_70to74,pop2017_70to74,pop2010_75to79,pop2014_75to79,pop2017_75to79,pop2010_80to84,pop2014_80to84,pop2017_80to84,pop2010_85over,pop2014_85over,pop2017_85over,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count
Dyer,38318,37815,37463,2797,2727,2595,2497,2566,2513,2450,2255,2334,1798,2193,2143,1377,1500,1759,1000,1112,1102,731,739,794,631,703,692,39.3,39.8,39.7,47045,No,182.9,165.7,201.4,86,falling,-0.6,-1.1,-0.1,0
Fayette,38429,39031,40036,3233,3182,2934,3098,3287,3364,2806,2999,3299,2031,2581,2866,1533,1896,2215,1016,1327,1522,641,804,946,533,660,726,42,44.5,46,47047,Yes,154.3,139.1,170.7,81,falling,-1.4,-2.2,-0.5,1
Fentress,17920,17838,18136,1297,1301,1323,1334,1321,1354,1300,1320,1363,1139,1302,1315,798,992,1157,528,609,733,322,338,380,274,309,288,42.4,44.3,45.4,47049,No,211.1,185.3,239.8,52,stable,-0.5,-1.2,0.3,1
Franklin,40961,41268,41652,2990,2982,2687,2936,3009,3024,2691,2808,2972,2300,2500,2654,1720,2008,2200,1393,1412,1521,879,991,964,832,811,886,41.4,41.9,42.2,47051,No,184.1,168.4,201,105,falling,-0.8,-1.3,-0.2,0
Gibson,49734,49368,49111,3567,3565,3211,3206,3305,3411,2984,2934,3087,2349,2696,2636,1892,1996,2185,1563,1532,1570,1188,1150,1095,1214,1170,1211,40,39.9,39.7,47053,No,202,186.6,218.3,132,stable,-0.4,-1,0.2,0
Giles,29420,28824,29401,2311,2334,2178,2152,2174,2285,1972,1979,2112,1645,1826,1860,1249,1414,1561,862,984,1045,581,614,710,627,610,624,42.3,43.5,43.7,47055,No,193.7,174.5,214.7,78,stable,-0.7,-1.5,0.1,0
Grainger,22721,22865,23144,1720,1693,1791,1627,1691,1734,1654,1587,1712,1331,1548,1566,979,1141,1330,643,774,917,430,456,474,272,334,346,42.2,43.8,45.1,47057,No,222,197.9,248.4,66,stable,0.1,-0.7,1,0
Greene,68838,68440,68808,5196,5108,4969,4885,5112,5105,4944,4676,4899,4076,4689,4716,3103,3532,4009,2261,2570,2771,1461,1640,1748,1207,1311,1425,42.7,44.1,44.9,47059,No,185.6,173.4,198.4,181,falling,-3.2,-4.9,-1.5,0
Grundy,13725,13374,13361,996,933,901,915,961,934,970,844,882,849,928,866,624,713,807,418,500,525,265,305,333,261,243,251,41.4,42.8,43.1,47061,No,210.7,181.5,243.6,40,stable,0.5,-0.6,1.6,0
Hamblen,62514,62952,64277,4384,4564,4430,3877,4122,4355,4007,3691,3842,3264,3701,3587,2492,2821,3208,1872,2021,2169,1266,1324,1445,1047,1169,1322,39.6,40.7,40.8,47063,No,189.8,176.4,203.9,155,falling,-0.8,-1.4,-0.1,1
Hamilton,337262,350602,361613,25237,24725,23736,23644,24948,24791,21053,22516,23889,15176,18928,20643,11227,13196,15398,9230,9385,10505,7250,7308,7280,6752,7639,8226,39.3,39.7,39.6,47065,No,172.6,167,178.3,743,stable,0.1,-1.5,1.8,5
Hancock,6802,6624,6600,549,480,451,522,529,513,494,513,522,385,425,522,290,301,327,217,241,233,138,152,161,126,129,122,42.9,43.5,44.3,47067,No,236.2,193.1,287.1,22,stable,0.4,-0.8,1.6,1
Hardeman,27171,25931,25447,1967,1912,1747,1813,1768,1768,1674,1652,1595,1247,1483,1505,961,1056,1224,706,750,777,493,537,535,431,417,470,39.3,40.1,40.3,47069,No,196.5,175.1,220.1,63,stable,-0.4,-1.2,0.4,0
